Date,Chain,Category,Buyer,Total Units,Sale Price,Cost Price,Suburb,State,Postcode,Manager
01/01/2016,Ready Wear,Home,Richard Carr,15,9.7,14.53,Lismore,NSW,2480,Claire Bridges
01/01/2016,Ready Wear,Womens,Amy Buchanan,133,5.36,3.34,Darwin,NT,800,Michael Carney
01/01/2016,Ready Wear,Womens,Amy Buchanan,748,6.97,5.4,Darwin,NT,800,Michael Carney
01/01/2016,Ready Wear,Mens,Bruce Curran,7,1,0.35,Darwin,NT,800,Michael Carney
01/01/2016,Bellings,Accessories,Maggie Mayer,88,3.64,4.35,Esperance,WA,6450,John Harper
01/01/2016,Ready Wear,Hosiery,Ella Hickman,123,0.5,1,Underwood,QLD,4119,Terri Wright
01/01/2016,Ready Wear,Mens,Bruce Curran,3,14.99,5,Darwin,NT,800,Michael Carney
01/01/2016,Ready Wear,Mens,Bruce Curran,93,3.29,2.52,Darwin,NT,800,Michael Carney
01/01/2016,Ready Wear,Home,Richard Carr,52,1.31,2.41,Randwick,NSW,2031,Jeremy Garcia
01/01/2016,Ready Wear,Juniors,Chester George,19,7.89,10.89,Chatswood,NSW,2067,Jeremy Garcia
01/01/2016,Ready Wear,Mens,Bruce Curran,34,4.64,2.29,Darwin,NT,800,Michael Carney
01/01/2016,Ready Wear,Groceries,Chris Monroe,204,1.36,1.63,Chadstone,VIC,3148,Rachael Long
01/01/2016,Ready Wear,Juniors,Chester George,16,6.06,9.49,Bathurst,NSW,2795,John Gardner
01/01/2016,Ready Wear,Kids,Elizabeth Gentry,68,1.95,2.75,Altona,VIC,3018,Brian Hubbard
01/01/2016,Ready Wear,Mens,Bruce Curran,33,7.17,2.82,Darwin,NT,800,Michael Carney
01/01/2016,Ready Wear,Hosiery,Ella Hickman,103,0.5,1,Albany,WA,6330,Miles Hammond
01/01/2016,Ready Wear,Home,Richard Carr,42,7.72,8.94,Alexandria,NSW,2015,Jeremy Garcia
01/01/2016,Ready Wear,Juniors,Chester George,43,1.67,2.86,Alexandria,NSW,2015,Jeremy Garcia
01/01/2016,Bellings,Juniors,Chester George,28,4.83,6.64,Ipswich,QLD,4305,Ricky Wilkinson
01/01/2016,Ready Wear,Mens,Bruce Curran,35,7.26,8.66,Chadstone,VIC,3148,Rachael Long
01/01/2016,Ready Wear,Womens,Amy Buchanan,55,2.64,3.52,Bathurst,NSW,2795,John Gardner
01/01/2016,Ready Wear,Juniors,Chester George,22,8.33,10.51,Dubbo,NSW,2830,John Gardner
01/01/2016,Ready Wear,Womens,Amy Buchanan,3,-6.66,8.83,Dubbo,NSW,2830,John Gardner
01/01/2016,Bellings,Womens,Amy Buchanan,55,1.73,2.57,Ulladulla,NSW,2539,George Chester
01/01/2016,Ready Wear,Womens,Amy Buchanan,9,9.44,14.5,Randwick,NSW,2031,Jeremy Garcia
01/01/2016,Ready Wear,Juniors,Chester George,31,8.84,10.3,Alexandria,NSW,2015,Jeremy Garcia
01/01/2016,Ready Wear,Mens,Bruce Curran,196,8.73,3.79,Darwin,NT,800,Michael Carney
01/01/2016,Ready Wear,Juniors,Chester George,23,7.94,9.87,Bathurst,NSW,2795,John Gardner
01/01/2016,Ready Wear,Womens,Amy Buchanan,18,9.22,11.64,North Lakes,QLD,4509,Ricky Wilkinson
01/01/2016,Ready Wear,Womens,Amy Buchanan,34,13.91,15.19,Indooroopilly,QLD,4068,Terri Wright
01/01/2016,Ready Wear,Mens,Bruce Curran,545,7.55,4.3,Darwin,NT,800,Michael Carney
01/01/2016,Bellings,Shoes,Howard Wright,10,9,13.16,Croydon,VIC,3136,Rachael Long
01/01/2016,Bellings,Accessories,Maggie Mayer,40,4.32,5.36,Croydon,VIC,3136,Rachael Long
01/01/2016,Ready Wear,Kids,Elizabeth Gentry,1,4,4.5,Darwin,NT,800,Michael Carney
01/01/2016,Bellings,Juniors,Chester George,9,9.11,13.67,Rockhampton,QLD,4700,Amber Ward
01/01/2016,Ready Wear,Juniors,Chester George,11,6.03,9.68,Bussleton,WA,6280,Miles Hammond
01/01/2016,Ready Wear,Juniors,Chester George,15,7.93,10.57,Indooroopilly,QLD,4068,Terri Wright
01/01/2016,Ready Wear,Womens,Amy Buchanan,21,8.38,10.25,Ballarat,VIC,3353,Jerry Fulton
01/01/2016,Ready Wear,Juniors,Chester George,44,5.07,5.95,North Lakes,QLD,4509,Ricky Wilkinson
01/01/2016,Ready Wear,Womens,Amy Buchanan,98,1.85,2.24,Armidale,NSW,2350,Claire Bridges
01/01/2016,Bellings,Womens,Amy Buchanan,48,2.42,3.2,Prospect,SA,5082,Ray Watson
01/01/2016,Ready Wear,Womens,Amy Buchanan,16,5.33,7.64,Rydalmere,NSW,2116,Lillian Pruitt
01/01/2016,Ready Wear,Mens,Bruce Curran,18,2,4,Campbelltown,NSW,2560,George Chester
01/01/2016,Ready Wear,Womens,Amy Buchanan,20,3.65,5.43,Caloundra,QLD,4551,Shellie Thomas
01/01/2016,Ready Wear,Womens,Amy Buchanan,60,1.3,1.89,Mascot,NSW,2020,Jeremy Garcia
01/01/2016,Ready Wear,Juniors,Chester George,32,9.31,10.41,Armidale,NSW,2350,Claire Bridges
01/01/2016,Ready Wear,Kids,Elizabeth Gentry,1,2,1.25,Darwin,NT,800,Michael Carney
01/01/2016,Ready Wear,Hosiery,Ella Hickman,70,0.5,1,Indooroopilly,QLD,4068,Terri Wright
01/01/2016,Bellings,Juniors,Chester George,45,5.58,6.35,Noarlunga,SA,5168,Ray Watson
01/01/2016,Bellings,Mens,Bruce Curran,1,-19.98,14,Claremont,WA,6010,Tom McKenzie
01/01/2016,Ready Wear,Womens,Amy Buchanan,54,1.22,1.85,Epping,VIC,3076,Brian Hubbard
01/01/2016,Ready Wear,Kids,Elizabeth Gentry,103,2.51,2.84,Maroochydore,QLD,4558,Shellie Thomas
01/01/2016,Ready Wear,Juniors,Chester George,24,8.91,10.3,Mascot,NSW,2020,Jeremy Garcia
01/01/2016,Ready Wear,Juniors,Chester George,19,8.73,10.47,Randwick,NSW,2031,Jeremy Garcia
01/01/2016,Ready Wear,Womens,Amy Buchanan,23,5.22,6.66,Campbelltown,NSW,2560,George Chester
01/01/2016,Ready Wear,Juniors,Chester George,1,-22.97,10,Southport,QLD,4215,Ricky Wilkinson
01/01/2016,Bellings,Accessories,Maggie Mayer,63,4.88,5.4,Gympie,QLD,4570,Shellie Thomas
01/01/2016,Ready Wear,Kids,Elizabeth Gentry,1,7.99,4.5,Darwin,NT,800,Michael Carney
01/01/2016,Ready Wear,Womens,Amy Buchanan,153,2.71,2.92,Wagga Wagga,NSW,2650,John Gardner
01/01/2016,Ready Wear,Juniors,Chester George,24,9.04,10.34,Epsom,VIC,3551,Jerry Fulton
01/01/2016,Ready Wear,Kids,Elizabeth Gentry,3,6.66,3.16,Darwin,NT,800,Michael Carney
01/01/2016,Ready Wear,Juniors,Chester George,27,9.06,10.16,Nowra,NSW,2541,George Chester
01/01/2016,Ready Wear,Groceries,Chris Monroe,1674,1,1.02,Rydalmere,NSW,2116,Lillian Pruitt
01/01/2016,Ready Wear,Juniors,Chester George,15,8.26,10.21,Chadstone,VIC,3148,Rachael Long
01/01/2016,Ready Wear,Kids,Elizabeth Gentry,44,1.93,2.59,Rydalmere,NSW,2116,Lillian Pruitt
01/01/2016,Ready Wear,Kids,Elizabeth Gentry,17,2.59,4.26,Bussleton,WA,6280,Miles Hammond
01/01/2016,Ready Wear,Kids,Elizabeth Gentry,79,2.54,2.9,Caloundra,QLD,4551,Shellie Thomas
01/01/2016,Ready Wear,Juniors,Chester George,10,5.5,8.3,Orange,NSW,2800,John Gardner
01/01/2016,Ready Wear,Kids,Elizabeth Gentry,6,7.5,3.21,Darwin,NT,800,Michael Carney
01/01/2016,Ready Wear,Kids,Elizabeth Gentry,16,3.99,1.75,Darwin,NT,800,Michael Carney
01/01/2016,Bellings,Juniors,Chester George,38,5.81,6.54,Ashfield,NSW,2131,Lillian Pruitt
01/01/2016,Ready Wear,Womens,Amy Buchanan,26,7.96,9.02,Chadstone,VIC,3148,Rachael Long
01/01/2016,Ready Wear,Womens,Amy Buchanan,5,5.41,10.9,Caloundra,QLD,4551,Shellie Thomas
01/01/2016,Ready Wear,Juniors,Chester George,46,4.15,4.74,Belconnen,ACT,2617,George Chester
01/01/2016,Ready Wear,Juniors,Chester George,25,9.08,10.14,North Lakes,QLD,4509,Ricky Wilkinson
01/01/2016,Ready Wear,Juniors,Chester George,6,5.83,10.21,Underwood,QLD,4119,Terri Wright
01/01/2016,Ready Wear,Shoes,Howard Wright,48,9.01,9.54,Orange,NSW,2800,John Gardner
01/01/2016,Bellings,Womens,Amy Buchanan,36,2.16,2.86,Mildura,VIC,3500,Jerry Fulton
01/01/2016,Bellings,Womens,Amy Buchanan,8,10,13.13,Warrnambool,VIC,3280,Jerry Fulton
01/01/2016,Ready Wear,Womens,Amy Buchanan,1,5.01,30,Maroochydore,QLD,4558,Shellie Thomas
01/01/2016,Ready Wear,Womens,Amy Buchanan,6,6.84,11,Chadstone,VIC,3148,Rachael Long
01/01/2016,Bellings,Juniors,Chester George,14,1.29,3.07,Wodonga,VIC,3690,Owen Pierce
01/01/2016,Ready Wear,Juniors,Chester George,11,7.36,9.59,Albany,WA,6330,Miles Hammond
01/01/2016,Bellings,Juniors,Chester George,13,5,6.88,Penrith,NSW,2750,John Gardner
01/01/2016,Ready Wear,Womens,Amy Buchanan,3,10.67,18.67,Southport,QLD,4215,Ricky Wilkinson
01/01/2016,Bellings,Mens,Bruce Curran,1,-9.99,14,Rosny Park,TAS,7018,Simone Prior
01/01/2016,Bellings,Juniors,Chester George,6,2.83,6.82,Mindarie,WA,6030,Tom McKenzie
01/01/2016,Bellings,Accessories,Maggie Mayer,73,3,3.32,Ipswich,QLD,4305,Ricky Wilkinson
01/01/2016,Bellings,Juniors,Chester George,4,5.5,11.25,Marion,SA,5043,Ray Watson
01/01/2016,Ready Wear,Womens,Amy Buchanan,-1,42.97,20,Underwood,QLD,4119,Terri Wright
01/01/2016,Bellings,Womens,Amy Buchanan,40,2.15,2.71,Wodonga,VIC,3690,Owen Pierce
01/01/2016,Ready Wear,Juniors,Chester George,20,6.4,7.53,Wagga Wagga,NSW,2650,John Gardner
01/01/2016,Bellings,Home,Richard Carr,109,1.11,1.32,Noosaville,QLD,4566,Shellie Thomas
01/01/2016,Bellings,Juniors,Chester George,9,3.78,6.25,Cairns,QLD,4870,Caroline Tucker
01/01/2016,Ready Wear,Kids,Elizabeth Gentry,50,2.74,3.18,Bendigo,VIC,3550,Jerry Fulton
01/01/2016,Ready Wear,Juniors,Chester George,10,8.3,10.5,Collingwood,VIC,3066,Brian Hubbard
01/01/2016,Bellings,Womens,Amy Buchanan,-3,9.99,2.75,Dural,NSW,2158,Lillian Pruitt
01/01/2016,Bellings,Womens,Amy Buchanan,22,1.66,2.64,Port Lincoln,SA,5607,Alex Nash
01/01/2016,Ready Wear,Kids,Elizabeth Gentry,312,4.23,3.5,Darwin,NT,800,Michael Carney
01/01/2016,Ready Wear,Juniors,Chester George,18,5.56,6.74,Randwick,NSW,2031,Jeremy Garcia
01/01/2016,Ready Wear,Womens,Amy Buchanan,18,6.86,8,Alexandria,NSW,2015,Jeremy Garcia
01/01/2016,Bellings,Juniors,Chester George,12,5.67,7.38,Dural,NSW,2158,Lillian Pruitt
01/01/2016,Ready Wear,Kids,Elizabeth Gentry,253,3.63,2.33,Darwin,NT,800,Michael Carney
01/01/2016,Ready Wear,Womens,Amy Buchanan,72,3.14,3.42,Dubbo,NSW,2830,John Gardner
01/01/2016,Ready Wear,Kids,Elizabeth Gentry,271,5.94,3.31,Darwin,NT,800,Michael Carney
01/01/2016,Ready Wear,Womens,Amy Buchanan,2,20,30,Rydalmere,NSW,2116,Lillian Pruitt
01/01/2016,Ready Wear,Womens,Amy Buchanan,22,4.68,5.59,Mascot,NSW,2020,Jeremy Garcia
01/01/2016,Ready Wear,Juniors,Chester George,28,3.71,4.42,Stafford,QLD,4053,Terri Wright
01/01/2016,Ready Wear,Juniors,Chester George,28,6.88,9.02,Darwin,NT,800,Michael Carney
01/01/2016,Ready Wear,Womens,Amy Buchanan,2,-4.49,5.25,Bathurst,NSW,2795,John Gardner
01/01/2016,Ready Wear,Juniors,Chester George,11,9,10.75,Southport,QLD,4215,Ricky Wilkinson
01/01/2016,Ready Wear,Accessories,Maggie Mayer,81,15.94,16.18,Indooroopilly,QLD,4068,Terri Wright
01/01/2016,Ready Wear,Mens,Bruce Curran,2,11,20.5,Albany,WA,6330,Miles Hammond
01/01/2016,Ready Wear,Groceries,Chris Monroe,95,1.4,1.6,Rydalmere,NSW,2116,Lillian Pruitt
01/01/2016,Ready Wear,Juniors,Chester George,7,1.29,3.96,Underwood,QLD,4119,Terri Wright
01/01/2016,Bellings,Kids,Elizabeth Gentry,19,4,4.98,Noosaville,QLD,4566,Shellie Thomas
01/01/2016,Bellings,Juniors,Chester George,14,4.93,6.25,Lithgow,NSW,2790,John Gardner
01/01/2016,Ready Wear,Home,Richard Carr,16,11.62,12.75,Nowra,NSW,2541,George Chester
01/01/2016,Ready Wear,Juniors,Chester George,21,8.42,9.28,Dubbo,NSW,2830,John Gardner
01/01/2016,Ready Wear,Womens,Amy Buchanan,29,7.96,8.58,Wagga Wagga,NSW,2650,John Gardner
01/01/2016,Bellings,Juniors,Chester George,8,8.5,10.75,Ringwood,VIC,3134,Rachael Long
01/01/2016,Ready Wear,Womens,Amy Buchanan,4,4.25,8.75,Epping,VIC,3076,Brian Hubbard
01/01/2016,Ready Wear,Juniors,Chester George,4,5.25,5.75,Darwin,NT,800,Michael Carney
01/01/2016,Ready Wear,Juniors,Chester George,27,6.89,7.55,Caloundra,QLD,4551,Shellie Thomas
01/01/2016,Ready Wear,Juniors,Chester George,26,3.31,3.22,Darwin,NT,800,Michael Carney
01/01/2016,Ready Wear,Juniors,Chester George,4,12.99,10.5,Darwin,NT,800,Michael Carney
01/01/2016,Bellings,Juniors,Chester George,7,3.79,6.32,Rosny Park,TAS,7018,Simone Prior
01/01/2016,Ready Wear,Juniors,Chester George,36,7.38,3.94,Darwin,NT,800,Michael Carney
01/01/2016,Ready Wear,Juniors,Chester George,39,16.43,9.43,Darwin,NT,800,Michael Carney
01/01/2016,Ready Wear,Hosiery,Ella Hickman,35,0.5,1,Rydalmere,NSW,2116,Lillian Pruitt
01/01/2016,Bellings,Juniors,Chester George,6,8.33,11.25,Launceston,TAS,7250,Simone Prior
01/01/2016,Ready Wear,Accessories,Maggie Mayer,9,8.08,10,Belconnen,ACT,2617,George Chester
01/01/2016,Ready Wear,Womens,Amy Buchanan,93,2.51,2.7,Armidale,NSW,2350,Claire Bridges
01/01/2016,Ready Wear,Juniors,Chester George,380,7.04,5,Darwin,NT,800,Michael Carney
01/01/2016,Ready Wear,Juniors,Chester George,48,7.01,7.36,Collingwood,VIC,3066,Brian Hubbard
01/01/2016,Bellings,Womens,Amy Buchanan,201,3.01,3.09,Burleigh Waters,QLD,4220,Ricky Wilkinson
01/01/2016,Ready Wear,Womens,Amy Buchanan,9,13.11,14.95,Stafford,QLD,4053,Terri Wright
01/01/2016,Ready Wear,Womens,Amy Buchanan,8,3.5,5.56,Maroochydore,QLD,4558,Shellie Thomas
01/01/2016,Bellings,Womens,Amy Buchanan,14,4.32,5.48,Dural,NSW,2158,Lillian Pruitt
01/01/2016,Ready Wear,Juniors,Chester George,9,6.7,8.5,Indooroopilly,QLD,4068,Terri Wright
01/01/2016,Ready Wear,Kids,Elizabeth Gentry,20,3.7,4.5,Randwick,NSW,2031,Jeremy Garcia
01/01/2016,Ready Wear,Shoes,Howard Wright,43,8.76,6.59,Darwin,NT,800,Michael Carney
01/01/2016,Ready Wear,Juniors,Chester George,7,8.57,10.79,Campbelltown,NSW,2560,George Chester
01/01/2016,Ready Wear,Womens,Amy Buchanan,6,2.67,5.25,Albany,WA,6330,Miles Hammond
01/01/2016,Ready Wear,Juniors,Chester George,38,3.05,3.46,Collingwood,VIC,3066,Brian Hubbard
01/01/2016,Ready Wear,Mens,Bruce Curran,7,2,4.14,Chatswood,NSW,2067,Jeremy Garcia
01/01/2016,Bellings,Juniors,Chester George,2,3,10.5,Shepparton,VIC,3630,Owen Pierce
01/01/2016,Ready Wear,Womens,Amy Buchanan,7,5.93,8.07,Bendigo,VIC,3550,Jerry Fulton
01/01/2016,Bellings,Juniors,Chester George,16,4.94,5.86,Cranbourne,VIC,3977,Owen Pierce
01/01/2016,Ready Wear,Juniors,Chester George,12,4.92,6.15,Southport,QLD,4215,Ricky Wilkinson
01/01/2016,Ready Wear,Womens,Amy Buchanan,11,1,2.34,Bathurst,NSW,2795,John Gardner
01/01/2016,Ready Wear,Shoes,Howard Wright,107,6.01,4.46,Darwin,NT,800,Michael Carney
01/01/2016,Bellings,Juniors,Chester George,-2,9.99,2.74,Gympie,QLD,4570,Shellie Thomas
01/01/2016,Ready Wear,Shoes,Howard Wright,172,23.02,14.88,Darwin,NT,800,Michael Carney
01/01/2016,Ready Wear,Intimate,Sara Ferrell,5,2.49,0.5,Darwin,NT,800,Michael Carney
01/01/2016,Ready Wear,Juniors,Chester George,42,6.42,6.76,Nowra,NSW,2541,George Chester
01/01/2016,Bellings,Juniors,Chester George,11,4.82,6.12,Mt Gambier,SA,5290,Alex Nash
01/01/2016,Bellings,Juniors,Chester George,5,3.4,6.25,Rockhampton,QLD,4700,Amber Ward
01/01/2016,Ready Wear,Juniors,Chester George,16,9,9.88,Maroochydore,QLD,4558,Shellie Thomas
01/01/2016,Bellings,Juniors,Chester George,5,7.94,10.75,Claremont,WA,6010,Tom McKenzie
01/01/2016,Bellings,Juniors,Chester George,11,5,6.27,Mackay,QLD,4740,Amber Ward
01/01/2016,Ready Wear,Womens,Amy Buchanan,9,3,4.56,Stafford,QLD,4053,Terri Wright
01/01/2016,Ready Wear,Kids,Elizabeth Gentry,17,2.47,3.28,Altona,VIC,3018,Brian Hubbard
01/01/2016,Ready Wear,Mens,Bruce Curran,27,8.33,8.84,Bendigo,VIC,3550,Jerry Fulton
01/01/2016,Bellings,Juniors,Chester George,7,7.28,9.21,Inglewood,WA,6052,Tom McKenzie
01/01/2016,Ready Wear,Mens,Bruce Curran,4,5.5,8.84,Southport,QLD,4215,Ricky Wilkinson
01/01/2016,Ready Wear,Womens,Amy Buchanan,13,1.77,2.79,Chadstone,VIC,3148,Rachael Long
01/01/2016,Ready Wear,Juniors,Chester George,8,4.62,6.25,Alexandria,NSW,2015,Jeremy Garcia
01/01/2016,Ready Wear,Intimate,Sara Ferrell,6,4.91,2.5,Darwin,NT,800,Michael Carney
01/01/2016,Ready Wear,Intimate,Sara Ferrell,662,3.67,2.16,Darwin,NT,800,Michael Carney
01/01/2016,Ready Wear,Hosiery,Ella Hickman,75,3.29,1.65,Darwin,NT,800,Michael Carney
01/01/2016,Ready Wear,Juniors,Chester George,15,6,6.86,Lismore,NSW,2480,Claire Bridges
01/01/2016,Bellings,Juniors,Chester George,-2,9.99,3.75,Broome,WA,6725,John Harper
01/01/2016,Ready Wear,Juniors,Chester George,13,8.15,9.1,Rydalmere,NSW,2116,Lillian Pruitt
01/01/2016,Ready Wear,Hosiery,Ella Hickman,307,4.28,2.49,Darwin,NT,800,Michael Carney
01/01/2016,Ready Wear,Womens,Amy Buchanan,25,6.52,7,Albany,WA,6330,Miles Hammond
01/01/2016,Ready Wear,Accessories,Maggie Mayer,3,1,0.79,Darwin,NT,800,Michael Carney
01/01/2016,Ready Wear,Accessories,Maggie Mayer,1,2.99,2,Darwin,NT,800,Michael Carney
01/01/2016,Ready Wear,Womens,Amy Buchanan,7,3.14,4.85,Armidale,NSW,2350,Claire Bridges
01/01/2016,Ready Wear,Juniors,Chester George,2,0.95,6.9,Bussleton,WA,6280,Miles Hammond
01/01/2016,Bellings,Juniors,Chester George,9,4.94,6.25,Harrisdale,WA,6112,Miles Hammond
01/01/2016,Ready Wear,Womens,Amy Buchanan,10,6.1,7.25,Bussleton,WA,6280,Miles Hammond
01/01/2016,Bellings,Juniors,Chester George,8,5.75,7.19,Burnie,TAS,7320,Simone Prior
01/01/2016,Bellings,Juniors,Chester George,23,7.65,8.15,Gympie,QLD,4570,Shellie Thomas
01/01/2016,Ready Wear,Hosiery,Ella Hickman,23,0.5,1,Lismore,NSW,2480,Claire Bridges
01/01/2016,Bellings,Juniors,Chester George,11,9.09,10.09,Balcatta,WA,6021,Tom McKenzie
01/01/2016,Ready Wear,Womens,Amy Buchanan,3,6.33,10,Nowra,NSW,2541,George Chester
01/01/2016,Ready Wear,Juniors,Chester George,4,2.5,5.25,Nowra,NSW,2541,George Chester
01/01/2016,Ready Wear,Juniors,Chester George,3,6.67,10.34,Ballarat,VIC,3353,Jerry Fulton
01/01/2016,Bellings,Womens,Amy Buchanan,2,9.5,15,Joondalup,WA,6027,Tom McKenzie
01/01/2016,Ready Wear,Womens,Amy Buchanan,8,17.75,19.12,Bussleton,WA,6280,Miles Hammond
01/01/2016,Ready Wear,Juniors,Chester George,32,7.36,7.7,Randwick,NSW,2031,Jeremy Garcia
01/01/2016,Ready Wear,Intimate,Sara Ferrell,6,1.99,3.8,Campbelltown,NSW,2560,George Chester
01/01/2016,Bellings,Accessories,Maggie Mayer,45,2.26,2.5,Scoresby,VIC,3179,Rachael Long
01/01/2016,Ready Wear,Juniors,Chester George,17,3.1,3.73,Armidale,NSW,2350,Claire Bridges
01/01/2016,Ready Wear,Accessories,Maggie Mayer,4,1.75,0.5,Darwin,NT,800,Michael Carney
01/01/2016,Ready Wear,Accessories,Maggie Mayer,42,4.51,3.14,Darwin,NT,800,Michael Carney
01/01/2016,Ready Wear,Kids,Elizabeth Gentry,14,2.86,3.62,Southport,QLD,4215,Ricky Wilkinson
01/01/2016,Ready Wear,Accessories,Maggie Mayer,239,5.72,5.06,Darwin,NT,800,Michael Carney
01/01/2016,Bellings,Juniors,Chester George,4,7.5,10.09,Broome,WA,6725,John Harper
01/01/2016,Ready Wear,Accessories,Maggie Mayer,219,2.9,1.79,Darwin,NT,800,Michael Carney
01/01/2016,Bellings,Juniors,Chester George,23,5.65,6.1,Ulladulla,NSW,2539,George Chester
01/01/2016,Ready Wear,Juniors,Chester George,32,3.47,3.79,Indooroopilly,QLD,4068,Terri Wright
01/01/2016,Ready Wear,Juniors,Chester George,23,3.08,3.53,Ballarat,VIC,3353,Jerry Fulton
01/01/2016,Ready Wear,Juniors,Chester George,15,3.73,4.4,Wagga Wagga,NSW,2650,John Gardner
01/01/2016,Bellings,Juniors,Chester George,8,5.25,6.51,Alice Springs,NT,870,Michael Carney
01/01/2016,Bellings,Juniors,Chester George,6,6.33,8,Tweed Heads,NSW,2485,Claire Bridges
01/01/2016,Ready Wear,Accessories,Maggie Mayer,16,1.37,2,Stafford,QLD,4053,Terri Wright
01/01/2016,Bellings,Juniors,Chester George,6,6.67,8.34,Broome,WA,6725,John Harper
01/01/2016,Bellings,Womens,Amy Buchanan,4,7.5,10,Launceston,TAS,7250,Simone Prior
01/01/2016,Ready Wear,Home,Richard Carr,51,4.45,4.29,Darwin,NT,800,Michael Carney
01/01/2016,Bellings,Womens,Amy Buchanan,10,1.8,2.8,Berri,SA,5343,Alex Nash
01/01/2016,Ready Wear,Mens,Bruce Curran,-1,14.99,5,Epsom,VIC,3551,Jerry Fulton
01/01/2016,Ready Wear,Home,Richard Carr,2,12.49,6,Darwin,NT,800,Michael Carney
01/01/2016,Ready Wear,Home,Richard Carr,373,3.22,2.64,Darwin,NT,800,Michael Carney
01/01/2016,Bellings,Home,Richard Carr,81,1.23,1.35,Werribee,VIC,3030,Brian Hubbard
01/01/2016,Bellings,Juniors,Chester George,5,4.59,6.5,Thornleigh,NSW,2120,Lillian Pruitt
01/01/2016,Bellings,Womens,Amy Buchanan,1,8.02,17.5,Gladstone,QLD,4680,Amber Ward
